address,categories,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categoryName,cid,city,claimThisBusiness,countryCode,imagesCount,isAdvertisement,locatedIn,locationlat,locationlng,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,orderBy/1/name,orderBy/1/orderUrl,orderBy/1/url,orderBy/2/name,orderBy/2/orderUrl,orderBy/2/url,orderBy/3/name,orderBy/3/orderUrl,orderBy/3/url,orderBy/4/name,orderBy/4/orderUrl,orderBy/4/url,orderBy/5/name,orderBy/5/orderUrl,orderBy/5/url,orderBy/6/name,orderBy/6/orderUrl,orderBy/6/url,orderBy/7/name,orderBy/7/orderUrl,orderBy/7/url,orderBy/8/name,orderBy/8/orderUrl,orderBy/8/url,orderBy/9/name,orderBy/9/orderUrl,orderBy/9/url,permanentlyClosed,phone,placeId,plusCode,postalCode,price,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,title,totalScore,url,website
"10920 N Ambassador Dr, Kansas City, MO 64153",,Pizza restaurant,Chicken wings restaurant,Sports bar,,,,,,,,,,Pizza restaurant,7.07474E+18,Kansas City,FALSE,US,196,FALSE,,39.2900179,-94.6800632,,10920 N Ambassador Dr,Old Chicago,,1.0071E+18,DoorDash,https://www.doordash.com/store/old-chicago-pizza-%2B-taproom-kansas-city-1039052/?pickup=true&utm_campaign=gpa,doordash.com,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,(816) 321-1901,ChIJCzeaz3BfwIcRDr95bG6FLmI,"78R9+2X Kansas City, Missouri",64153,$$,50,338,158,77,34,40,29,2022-12-02T17:25:40.762Z,"https://www.google.com/maps/search/restaurant/@39.3435592,-94.7295508,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,10920 N Ambassador Dr,,FALSE,Old Chicago Pizza + Taproom,3.9,"https://www.google.com/maps/place/Old+Chicago+Pizza+%2B+Taproom/@39.2900179,-94.6800632,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f70cf9a370b:0x622e856e6c79bf0e!8m2!3d39.2900179!4d-94.6800632?hl=en",https://oldchicago.com/locations/kc-airport
"8771 N Ambassador Dr, Kansas City, MO 64154",,Fast food restaurant,,,,,,,,,,,,Fast food restaurant,1.56367E+19,Kansas City,FALSE,US,143,FALSE,,39.2567763,-94.648959,,8771 N Ambassador Dr,raisingcanes.com,https://www.raisingcanes.com/mobile-ordering,raisingcanes.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,(816) 584-0502,ChIJo9IZtDNfwIcR7g3ohaK_ANk,"7942+PC Kansas City, Missouri",64154,$,53,1676,1037,357,74,143,65,2022-12-02T17:25:46.563Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,8771 N Ambassador Dr,,FALSE,Raising Cane's Chicken Fingers,4.3,"https://www.google.com/maps/place/Raising+Cane's+Chicken+Fingers/@39.2567763,-94.648959,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f33b419d2a3:0xd900bfa285e80dee!8m2!3d39.2567763!4d-94.648959?hl=en",https://www.raisingcanes.com/locations/c275
"8441 NW Prairie View Rd, Kansas City, MO 64153",,Chicken wings restaurant,American restaurant,Bar & grill,Takeout Restaurant,Restaurant,Sports bar,,,,,,,Chicken wings restaurant,1.21237E+19,Kansas City,FALSE,US,382,FALSE,,39.2479825,-94.6600576,,8441 NW Prairie View Rd,buffalowildwings.com,http://www.buffalowildwings.com/menu/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=order%20link,buffalowildwings.com,Seamless,https://www.seamless.com/menu/wild-burger-8441-nw-prairie-view-rd-kansas-city/2809975?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,seamless.com,DoorDash,https://www.doordash.com/store/wild-burger-kansas-city-1897240/?pickup=true&utm_campaign=gpa,doordash.com,Grubhub,https://www.grubhub.com/restaurant/wild-burger-8441-nw-prairie-view-rd-kansas-city/2809975?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,grubhub.com,,,,,,,,,,,,,,,,,,,FALSE,(816) 741-5174,ChIJw_ICr0BfwIcRIe2L6Wf8P6g,"68XQ+5X Kansas City, Missouri",64153,$$,60,1914,773,408,321,275,137,2022-12-02T17:26:06.767Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,8441 NW Prairie View Rd,,FALSE,Buffalo Wild Wings,3.6,"https://www.google.com/maps/place/Buffalo+Wild+Wings/@39.2479825,-94.6600576,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f40af02f2c3:0xa83ffc67e98bed21!8m2!3d39.2479142!4d-94.6601059?hl=en",https://www.buffalowildwings.com/locations/us/mo/kansas-city/8441-nw-prairie-view-rd/sports-bar-767?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link
"6411 NW 72nd St, Kansas City, MO 64151",,Chinese restaurant,Asian restaurant,,,,,,,,,,,Chinese restaurant,1.2374E+19,Kansas City,FALSE,US,129,FALSE,,39.2246702,-94.6525826,,6411 NW 72nd St,Menufy,,1.5939E+19,Postmates,,1.112E+19,ironwokkcmo.com,https://www.ironwokkcmo.com/,ironwokkcmo.com,Seamless,https://www.seamless.com/menu/iron-wok-6411-nw-72nd-st-kansas-city/3277648?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,seamless.com,DoorDash,https://www.doordash.com/store/iron-wok-kansas-city-985553/?pickup=true&utm_campaign=gpa,doordash.com,Caviar,https://www.trycaviar.com/store/iron-wok-kansas-city-985553?pickup=true&utm_campaign=gpa,trycaviar.com,Grubhub,https://www.grubhub.com/restaurant/iron-wok-6411-nw-72nd-st-kansas-city/3277648?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,grubhub.com,UberEats,https://www.ubereats.com/store/ironwok-chinese-restaurant/Aavtsda8QK6q6QmasIJWkw/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,ubereats.com,,,,,,,FALSE,(816) 587-8886,ChIJp-sWBvn1wIcRgee2fI9Quas,"68FW+VX Kansas City, Missouri",64151,$,58,543,338,90,42,50,23,2022-12-02T17:26:08.289Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,6411 NW 72nd St,,FALSE,Iron Wok Chinese Restaurant,4.2,"https://www.google.com/maps/place/Iron+Wok+Chinese+Restaurant/@39.2246702,-94.6525826,17z/data=!3m1!4b1!4m5!3m4!1s0x87c0f5f90616eba7:0xabb9508f7cb6e781!8m2!3d39.2247562!4d-94.6525809?hl=en",https://www.ironwokkcmo.com/
"8614 N Boardwalk Ave, Kansas City, MO 64154",,Bar & grill,Brewpub,Live music venue,Pub,Restaurant,Sports bar,,,,,,,Bar & grill,3.81908E+18,Kansas City,FALSE,US,876,FALSE,Shops At Boardwalk,39.2533604,-94.6533602,,8614 N Boardwalk Ave,Order Direct by DoorDash,,1.13441E+19,Postmates,,1.112E+19,DoorDash,https://www.doordash.com/store/the-brewtop-pub-and-patio-kansas-city-216754/?pickup=true&utm_campaign=gpa,doordash.com,Caviar,https://www.trycaviar.com/store/the-brewtop-pub-and-patio-kansas-city-216754?pickup=true&utm_campaign=gpa,trycaviar.com,Grubhub,https://www.grubhub.com/restaurant/the-brew-top-pub-and-patio-north-kc-8614-n-boardwalk-ave-kansas-city/1455157?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,grubhub.com,Seamless,https://www.seamless.com/menu/the-brew-top-pub-and-patio-north-kc-8614-n-boardwalk-ave-kansas-city/1455157?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,seamless.com,UberEats,https://www.ubereats.com/store/the-brewtop-pub-and-patio/HakLwAplTHeYNLZZA9UstQ/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,ubereats.com,order.online,https://order.online/store/the-brewtop-pub-and-patio-216754,order.online,,,,,,,FALSE,(816) 584-9292,ChIJHyHs4DZfwIcRx91zh7UWADU,"783W+8M Kansas City, Missouri",64154,$$,57,1305,736,350,53,132,34,2022-12-02T17:26:11.916Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,8614 N Boardwalk Ave,,FALSE,The BrewTop Pub and Patio,4.3,"https://www.google.com/maps/place/The+BrewTop+Pub+and+Patio/@39.2533604,-94.6533602,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f36e0ec211f:0x350016b58773ddc7!8m2!3d39.2533604!4d-94.6533602?hl=en",http://www.thebrewtop.com/
"6209 NW 63rd Terrace, Kansas City, MO 64151",,Italian restaurant,Fast food restaurant,Restaurant,,,,,,,,,,Italian restaurant,1.11804E+19,Kansas City,FALSE,US,243,FALSE,Village at Burlington Creek,39.2095281,-94.652385,,6209 NW 63rd Terrace,ChowNow,,1.52199E+19,DoorDash,https://www.doordash.com/store/dominic%27s-casual-italian-kansas-city-187177/?pickup=true&utm_campaign=gpa,doordash.com,Seamless,https://www.seamless.com/menu/dominics-casual-italian-6209-nw-63rd-terrace-kansas-city/1946304?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,seamless.com,Grubhub,https://www.grubhub.com/restaurant/dominics-casual-italian-6209-nw-63rd-terrace-kansas-city/1946304?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,grubhub.com,UberEats,https://www.ubereats.com/store/dominics-casual-italian/DALqyVEeUHGiJnH5rPgqPg/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,ubereats.com,Postmates,https://www.postmates.com/store/dominics-casual-italian/DALqyVEeUHGiJnH5rPgqPg/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,postmates.com,,,,,,,,,,,,,FALSE,(816) 437-7200,ChIJoWZABOf1wIcREhl4pM7VKJs,"685X+R2 Kansas City, Missouri",64151,$$,59,893,574,194,41,62,22,2022-12-02T17:26:12.188Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,6209 NW 63rd Terrace,,FALSE,Dominic's Casual Italian,4.4,"https://www.google.com/maps/place/Dominic's+Casual+Italian/@39.2095281,-94.652385,17z/data=!3m1!4b1!4m5!3m4!1s0x87c0f5e7044066a1:0x9b28d5cea4781912!8m2!3d39.2095389!4d-94.6524418?hl=en",http://www.dominics.it/
"6131 NW 63rd Terrace, Kansas City, MO 64151",,American restaurant,Fast food restaurant,,,,,,,,,,,American restaurant,6.08621E+18,Kansas City,FALSE,US,160,FALSE,Village at Burlington Creek,39.2093709,-94.6520353,,6131 NW 63rd Terrace,Order Clover,,2.96619E+18,Order Direct by DoorDash,,1.13441E+19,DoorDash,https://www.doordash.com/store/twisted-fresh-kansas-city-216868/?pickup=true&utm_campaign=gpa,doordash.com,Caviar,https://www.trycaviar.com/store/twisted-fresh-kansas-city-216868?pickup=true&utm_campaign=gpa,trycaviar.com,,,,,,,,,,,,,,,,,,,FALSE,(816) 569-2307,ChIJ331yHOf1wIcR3SPVACyPdlQ,"685X+P5 Kansas City, Missouri",64151,$,56,628,433,114,21,42,18,2022-12-02T17:26:13.968Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,6131 NW 63rd Terrace,,FALSE,Twisted Fresh,4.5,"https://www.google.com/maps/place/Twisted+Fresh/@39.2093709,-94.6520353,17z/data=!3m1!4b1!4m5!3m4!1s0x87c0f5e71c727ddf:0x54768f2c00d523dd!8m2!3d39.2094111!4d-94.6519879?hl=en",http://twistedfresh.com/
"9004 NW Skyview Ave, Kansas City, MO 64154",,Pizza restaurant,,,,,,,,,,,,Pizza restaurant,6.6451E+18,Kansas City,FALSE,US,74,FALSE,,39.2583651,-94.6531049,,9004 NW Skyview Ave,DoorDash,https://www.doordash.com/store/godfathers-pizza-kansas-city-1147837/?pickup=true&utm_campaign=gpa,doordash.com,Caviar,https://www.trycaviar.com/store/godfathers-pizza-kansas-city-1147837?pickup=true&utm_campaign=gpa,trycaviar.com,Grubhub,https://www.grubhub.com/restaurant/godfathers-pizza-tiffany-springs-9004-nw-skyview-ave-kansas-city/2301664?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,grubhub.com,Seamless,https://www.seamless.com/menu/godfathers-pizza-tiffany-springs-9004-nw-skyview-ave-kansas-city/2301664?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,seamless.com,UberEats,https://www.ubereats.com/store/godfathers-pizza-9004-nw-skyview/BtbFB3NKRemBh2g8pouZGg/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,ubereats.com,Postmates,https://www.postmates.com/store/godfathers-pizza-9004-nw-skyview/BtbFB3NKRemBh2g8pouZGg/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,postmates.com,,,,,,,,,,,,,FALSE,(816) 905-1000,ChIJvz148kFfwIcRdVt3OSwhOFw,"785W+8Q Kansas City, Missouri",64154,$$,55,120,76,23,10,7,4,2022-12-02T17:26:33.060Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,9004 NW Skyview Ave,,FALSE,Godfather's Pizza,4.3,"https://www.google.com/maps/place/Godfather's+Pizza/@39.2583651,-94.6531049,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f41f2783dbf:0x5c38212c39775b75!8m2!3d39.2583651!4d-94.6531049?hl=en",https://www.godfathers.com/
"8170 NW Prairie View Rd, Kansas City, MO 64151",,Fast food restaurant,Hamburger restaurant,,,,,,,,,,,Fast food restaurant,1.01677E+19,Kansas City,FALSE,US,94,FALSE,,39.2426392,-94.6593385,,8170 NW Prairie View Rd,Hardees,,2.05736E+18,hardees.com,https://order.hardees.com/location/-mo-kansas-city-8170-nw-prairie-view-rd/menu?y_source=1_MTIzODkzOTgtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,hardees.com,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,(816) 741-8318,ChIJ-50cGERfwIcRVqnm28bEGo0,"68VR+37 Kansas City, Missouri",64151,$,52,503,182,127,57,92,45,2022-12-02T17:26:34.885Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,8170 NW Prairie View Rd,,FALSE,Hardee's,3.7,"https://www.google.com/maps/place/Hardee's/@39.2426392,-94.6593385,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f44181c9dfb:0x8d1ac4c6dbe6a956!8m2!3d39.2426392!4d-94.6593385?hl=en",https://locations.hardees.com/mo/kansas-city/8170-nw-prairie-view-rd?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website&y_source=1_MTIzODkzOTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"8581 N Boardwalk Ave, Kansas City, MO 64154",,Restaurant,Fast food restaurant,,,,,,,,,,,Restaurant,4.76511E+18,Kansas City,FALSE,US,109,FALSE,,39.2518277,-94.6527851,,8581 N Boardwalk Ave,burgerking.com,https://burgerking.com/store-locator/store/restaurant_21506,burgerking.com,UberEats,https://www.ubereats.com/store/burger-king-8581-n-boardwalk-ave/y2B5HdxDThSYoJnZgI2lwQ/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,ubereats.com,Postmates,https://www.postmates.com/store/burger-king-8581-n-boardwalk-ave/y2B5HdxDThSYoJnZgI2lwQ/?utm_campaign=place-action-link&diningMode=PICKUP&utm_medium=organic&utm_source=google,postmates.com,,,,,,,,,,,,,,,,,,,,,,FALSE,(816) 584-0688,ChIJj46laTdfwIcR5YrFpbUSIUI,"782W+PV Kansas City, Missouri",64154,$,79,907,367,227,87,168,58,2022-12-02T17:26:45.561Z,"https://www.google.com/maps/search/restaurant/@39.2638295,-94.6954363,15z/data=!4m2!2m1!6e5?hl=en",restaurant,Missouri,8581 N Boardwalk Ave,,FALSE,Burger King,3.8,"https://www.google.com/maps/place/Burger+King/@39.2518277,-94.6527851,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05f3769a58e8f:0x422112b5a5c58ae5!8m2!3d39.2518277!4d-94.6527851?hl=en",https://burgerking.com/store-locator/store/restaurant_21506
