"Location","Latitude","Longitude"
"4621 Jefferson St, MO","39.04378","-94.59456"
"2700 Gillham Rd, MO","39.07767","-94.57932"
"3457 Holmes St, MO","39.06378","-94.57613"
"1207 E Armour Blvd, MO","39.06291","-94.57004"
"2980 Gillham Rd, MO","39.07294","-94.57913"
"2901 Oak St, MO","39.0741","-94.57964"
"6728 N Randall Ct, MO","39.21654","-94.53582"
"7731 N Mercier St, MO","39.23512","-94.59281"
"829 NW 79th Ter, MO","39.23765","-94.59145"
"500 NW 63rd St, MO","39.20854","-94.58773"
"1282 NW Vivion Rd, MO","39.18296","-94.59731"
"7670 N Euclid Ave, MO","39.2332","-94.55572"
"6904 N Bales Ave, MO","39.21979","-94.53801"
"6809-6903 N Broadway St, MO","38.97636","-94.13042"
"5400 N Summit St, MO","39.19258","-94.59241"
"5700 N Main St, MO","36.68743","-93.86411"
"601 NE 70th St, MO","39.22092","-94.57319"
"8101 N Thomas Meyers Dr, MO","39.243","-94.59118"
"450 NE 68th St, MO","39.21762","-94.57405"
"8000 N Hickory St, MO","39.2394","-94.59487"
"17401 E US Highway 40, MO","39.03349","-94.37443"
"1101 S Main St, MO","39.3019","-91.48247"
"525 Stone Arch Dr, MO","39.09181","-94.47762"
"111 Hillside Dr, MO","39.09119","-94.38581"
"13004 E US Highway 40 Hwy, MO","39.03664","-94.42594"
"16301 E 29th St S, MO","39.06479","-94.3872"
"4430 S Liberty Ave, MO","39.03927","-94.41982"
"3100 Quail Creek Dr, MO","39.03754","-94.39504"
"2905 S Lees Summit Rd, MO","39.06639","-94.39117"
"1105 S Brookside Ave, MO","39.09597","-94.46849"
"4631 S Eastland Center Dr, MO","39.03432","-94.35457"
"19400 E 37th Terrace Ct S, MO","39.05199","-94.3517"
"1500 W 23rd Ter, MO","39.07883","-94.43509"
"19401 E 40th Street Ct S, MO","39.04158","-94.35136"
"16301 E 48th Ter, MO","39.03176","-94.38913"
"530 Sundown Dr, MO","39.10132","-94.44177"
"10415 E 43rd St, MO","39.04392","-94.45158"
"10500 E 42nd St, MO","39.0469","-94.45611"
"20301 E 45th St, MO","39.03347","-94.34208"
"6140 Raytown Rd, MO","39.01091","-94.4639"
"8900 Old Santa Fe Rd, MO","38.96423","-94.50292"
"8620 W Utopia Dr, MO","38.9661","-94.48128"
"8619 E 61st, MO","39.013","-94.48718"
"6700 E 87th St, MO","38.96729","-94.51001"
"8803 Newton Ave, MO","38.96665","-94.51036"
"500 E 135th St, MO","38.88071","-94.53976"
"11540 Holiday Dr, MO","38.91346","-94.51346"
"1109 N Scott Ave, MO","38.83413","-94.53292"
"13900 Grandboro Ln, MO","38.87273","-94.53549"
"11418 Blue Ridge Blvd, MO","38.91589","-94.51289"
"1501 Thomas Ave, MO","38.89157","-94.52702"
"11201 Montgall Ave, MO","38.92199","-94.55803"
"5908 E 126th St, MO","38.89471","-94.52205"
"13615 White Ave, MO","38.87703","-94.52385"
"11330 Colorado Ave, MO","38.91873","-94.53043"
